
		/////////////////////////////////////////////////////////////////////////////////////////////////
        //                                                                                             //
        //      Need Help? The Trader Mod has its own Channel on the DayZ Modders Discord Server!      //
        //                                                                                             //
        //      Only Singleline Comments work. Don't use Multiline Comments!                           //
        //      /* THIS COMMENT WILL CRASH THE SERVER! */                                              //
        //      // THIS COMMENT WORKS!                                                                 //
        //                                                                                             //
        /////////////////////////////////////////////////////////////////////////////////////////////////

<CurrencyName> #tm_ruble							// Currency Name (Only used for the Text in the upper right Corner of the Trader Menu)
	<Currency> MoneyRuble1, 	1					// Currency Classname, Currency Money Value
	<Currency> MoneyRuble5, 	5
	<Currency> MoneyRuble10, 	10
	<Currency> MoneyRuble25, 	25
	<Currency> MoneyRuble50, 	50
	<Currency> MoneyRuble100, 	100


<Trader> Consume Trader								// Trader Name (first Trader has ID = 0, second Trader has ID = 1, and so on..)
	<Category> Vegetables							// Category Name
		CaninaBerry,			*,		100,		50	// Item Classname, Quantity, Buyvalue, Sellvalue
		SambucusBerry,			*,		100,		50	// Quantity * means max value; Quantity V means Vehicle; Quantity VNK means Vehicle without Key; Quantity M means Magazine; Quantity W means Weapon; Quantity S means Steack Meat; Quantity K means Key Duplication
		Plum,					*,		100,		50	// Buyvalue -1 means it can not be bought
		Kiwi,					*,		100,		50	// Sellvalue -1 means it can not be selled
		HuntingOptic,			*,		1000,	500
		PSO1Optic,				*,		1100,	500	
		PSO11Optic,				*,		1400,	500
		Mass1P69,				*,		2000,	500
		KazuarOptic,			*,		2200,	500
	    SniperOptic,            *,      2000,     500
	
	<Category> Supressors
		PistolSuppressor,			*,		-1,	1500
		AK_Suppressor,				*,		-1,	1500
		M4_Suppressor,				*,		-1,	1500
		MassScoutSuppressor,		*,		-1,	1500	
		shotgun_Suppressor,			*,		-1,	1500	
		MassSuppressor308,			*,		-1,	1500
		
	<Category> Compensators
		Mosin_Compensator,		*,		150,	75
		MP5_Compensator,		*,		200,	100

	<Category> Bayonets
		Mosin_Bayonet,			*,		100,	60
		M9A1_Bayonet,			*,		150,	75
		AK_Bayonet,				*,		150,	75
		SKS_Bayonet,			*,		100,	60
		
	<Category> Flashlights
		TLRLight,				*,		100,	50
		Universallight,			*,		120,	60
	
	
<Trader> Clothing Trader
	<Category> Glasses
		SportGlasses_Orange,	*,		17,		8
		SportGlasses_Blue,		*,		18,		9
		SportGlasses_Black,		*,		20,		10
		SportGlasses_Green,		*,		20,		10
		ThinFramesGlasses,		*,		20,		10
		ThickFramesGlasses,		*,		23,		11
		DesignerGlasses,		*,		30,		15
		AviatorGlasses,			*,		40,		20
		TacticalGoggles,		*,		60,		30
		NVGHeadstrap,			*,		200,	120
		
	<Category> Armbands
		Armband_Pink,			*,		15,		5
		Armband_Yellow,			*,		15,		5
		Armband_Orange,			*,		15,		5
		Armband_Red,			*,		15,		5
		Armband_Blue,			*,		15,		5
		Armband_White,			*,		15,		5
		Armband_Black,			*,		15,		5
		Armband_Green,			*,		15,		5
		
	<Category> Gloves
		SurgicalGloves_LightBlue,*,		5,		1
		SurgicalGloves_Blue,	*,		5,		1
		SurgicalGloves_White,	*,		5,		1
		SurgicalGloves_Green,	*,		5,		1
		WorkingGloves_Yellow,	*,		25,		6
		WorkingGloves_Beige,	*,		30,		8
		WorkingGloves_Brown,	*,		30,		8
		WorkingGloves_Black,	*,		30,		8
		TacticalGloves_Beige,	*,		35,		10
		TacticalGloves_Black,	*,		35,		10
		TacticalGloves_Green,	*,		35,		10
		OMNOGloves_Gray,		*,		40,		12
		OMNOGloves_Brown,		*,		40,		12
		NBCGlovesGray,			*,		65,		20

	<Category> Hats & Caps
		MedicalScrubsHat_Blue,	*,		2,		1
		MedicalScrubsHat_White,	*,		2,		1
		MedicalScrubsHat_Green,	*,		2,		1
		Bandana_Polkapattern,	*,		6,		2
		Bandana_Redpattern,		*,		6,		2
		Bandana_Blackpattern,	*,		6,		2
		Bandana_Greenpattern,	*,		8,		2
		Bandana_Camopattern,	*,		10,		3
		BaseballCap_CMMG_Pink,	*,		12,		3
		BaseballCap_Pink,		*,		12,		3
		BaseballCap_Red,		*,		12,		3
		BaseballCap_Blue,		*,		12,		3
		BaseballCap_Beige,		*,		12,		3
		BaseballCap_CMMG_Black,	*,		12,		3
		BaseballCap_Black,		*,		13,		3
		BaseballCap_Olive,		*,		14,		4
		BaseballCap_Camo,		*,		16,		5
		PrisonerCap,			*,		16,		5
		BoonieHat_Orange,		*,		16,		5
		BoonieHat_Red,			*,		16,		5
		BoonieHat_Blue,			*,		16,		5
		BoonieHat_NavyBlue,		*,		16,		5
		BoonieHat_Black,		*,		17,		5
		BoonieHat_Tan,			*,		18,		6
		BoonieHat_Olive,		*,		18,		6
		BoonieHat_DPM,			*,		20,		7
		BoonieHat_Dubok,		*,		20,		7
		BoonieHat_Flecktran,	*,		20,		7
		CowboyHat_Brown,		*,		20,		7
		CowboyHat_darkBrown,	*,		20,		7
		CowboyHat_black,		*,		20,		7
		CowboyHat_green,		*,		20,		7
		PilotkaCap,				*,		25,		7
		OfficerHat,				*,		25,		7
		PoliceCap,				*,		25,		7
		MilitaryBeret_ChDKZ,	*,		26,		7
		MilitaryBeret_Red,		*,		26,		7
		MilitaryBeret_UN,		*,		26,		7
		MilitaryBeret_CDF,		*,		27,		7
		MilitaryBeret_NZ,		*,		27,		7
		BeanieHat_Pink,			*,		30,		8
		BeanieHat_Red,			*,		30,		8
		BeanieHat_Blue,			*,		30,		8
		BeanieHat_Grey,			*,		30,		8
		BeanieHat_Beige,		*,		30,		8
		BeanieHat_Brown,		*,		30,		8
		BeanieHat_Black,		*,		31,		8
		BeanieHat_Green,		*,		32,		9
		FlatCap_Red,			*,		32,		8
		FlatCap_Blue,			*,		32,		8
		FlatCap_BrownCheck,		*,		32,		8
		FlatCap_GreyCheck,		*,		32,		8
		FlatCap_Grey,			*,		32,		8
		FlatCap_Brown,			*,		32,		8
		FlatCap_Black,			*,		32,		8
		FlatCap_BlackCheck,		*,		32,		8
		ZmijovkaCap_Red,		*,		36,		9
		ZmijovkaCap_Blue,		*,		36,		9
		ZmijovkaCap_Brown,		*,		36,		9
		ZmijovkaCap_Black,		*,		37,		9
		ZmijovkaCap_Green,		*,		38,		10
		RadarCap_Red,			*,		40,		10
		RadarCap_Blue,			*,		40,		10
		RadarCap_Brown,			*,		40,		10
		RadarCap_Black,			*,		42,		10
		RadarCap_Green,			*,		45,		12
		Ushanka_Blue,			*,		50,		15
		Ushanka_Black,			*,		50,		15
		Ushanka_Green,			*,		55,		18
		NBCHoodGray,			*,		100,	30		

	<Category> Helmets
		ConstructionHelmet_Yellow,*,	30,		7
		ConstructionHelmet_Orange,*,	30,		7
		ConstructionHelmet_Red,	*,		30,		7
		ConstructionHelmet_Blue,*,		30,		7
		ConstructionHelmet_White,*,		30,		7
		ConstructionHelmet_Lime,*,		33,		8
		SkateHelmet_Red,		*,		45,		12
		SkateHelmet_Blue,		*,		45,		12
		SkateHelmet_Gray,		*,		45,		12
		SkateHelmet_Black,		*,		47,		12
		SkateHelmet_Green,		*,		50,		13
		HockeyHelmet_Red,		*,		50,		13
		HockeyHelmet_Blue,		*,		50,		13
		HockeyHelmet_White,		*,		50,		13
		HockeyHelmet_Black,		*,		55,		14
		DirtBikeHelmet_Mouthguard,*,	15,		4
		DirtBikeHelmet_Visor,	*,		25,		8
		DirtBikeHelmet_Red,		*,		60,		15
		DirtBikeHelmet_Blue,	*,		60,		15
		DirtBikeHelmet_Police,	*,		60,		15
		DirtBikeHelmet_Green,	*,		60,		15
		DirtBikeHelmet_Chernarus,*,		60,		15
		DirtBikeHelmet_Black,	*,		65,		16
		DirtBikeHelmet_Khaki,	*,		70,		18
		MotoHelmet_Red,			*,		70,		18
		MotoHelmet_Blue,		*,		70,		18
		MotoHelmet_White,		*,		70,		18
		MotoHelmet_Lime,		*,		70,		18
		MotoHelmet_Grey,		*,		75,		18
		MotoHelmet_Black,		*,		75,		20
		MotoHelmet_Green,		*,		80,		22
		DarkMotoHelmet_Red,		*,		80,		22
		DarkMotoHelmet_Blue,	*,		80,		22
		DarkMotoHelmet_White,	*,		80,		22
		DarkMotoHelmet_Lime,	*,		80,		22
		DarkMotoHelmet_Grey,	*,		80,		22
		DarkMotoHelmet_Black,	*,		85,		23
		DarkMotoHelmet_Green,	*,		90,		25
		TankerHelmet,			*,		100,	25
		GreatHelm,				*,		120,	30
		ZSh3PilotHelmet,		*,		130,	35
		FirefightersHelmet_Yellow,*,	150,	40
		FirefightersHelmet_Red,	*,		150,	40
		FirefightersHelmet_White,*,		150,	40
		Mich2001Helmet,			*,		150,	40
		GorkaHelmetVisor,		*,		50,		20
		GorkaHelmet,			*,		190,	50
		Ssh68Helmet,			*,		250,	80
		BallisticHelmet_UN,		*,		250,	80
		BallisticHelmet_Black,	*,		300,	100
		BallisticHelmet_Green,	*,		350,	110

	<Category> Masks
		SurgicalMask,			*,		15,		3
		BandanaMask_PolkaPattern,*,		25,		6
		BandanaMask_RedPattern,	*,		25,		6
		BandanaMask_BlackPattern,*,		25,		6
		BandanaMask_GreenPattern,*,		30,		8
		BandanaMask_CamoPattern,*,		35,		10
		NioshFaceMask,			*,		40,		10
		HockeyMask,				*,		40,		10
		//HoxtonMask,			*,		40,		10
		//WolfMask,				*,		40,		10
		//DallasMask,			*,		40,		10
		Balaclava3Holes_Blue,	*,		50,		12
		Balaclava3Holes_Beige,	*,		50,		12
		Balaclava3Holes_Black,	*,		55,		13
		Balaclava3Holes_Green,	*,		60,		15
		WeldingMask,			*,		70,		20
		GP5GasMask,				*,		120,	40

	<Category> Shirts
		TShirt_OrangeWhiteStripes,*,	8,		2
		TShirt_RedBlackStripes,	*,		8,		2
		TShirt_Red,				*,		8,		2
		TShirt_Blue,			*,		8,		2
		TShirt_White,			*,		10,		2
		TShirt_Grey,			*,		10,		2
		TShirt_Beige,			*,		10,		2
		TShirt_Black,			*,		12,		3
		TShirt_Green,			*,		12,		3
		TelnyashkaShirt,		*,		14,		3
		Shirt_RedCheck,			*,		16,		4
		Shirt_BlueCheckBright,	*,		16,		4	
		Shirt_BlueCheck,		*,		16,		4
		Shirt_WhiteCheck,		*,		16,		4
		Shirt_PlaneBlack,		*,		17,		4
		Shirt_GreenCheck,		*,		18,		4
		Blouse_Violet,			*,		16,		4
		Blouse_Blue,			*,		16,		4
		Blouse_White,			*,		16,		4
		Blouse_Green,			*,		18,		4
		MedicalScrubsShirt_Blue,*,		20,		5
		MedicalScrubsShirt_White,*,		20,		5
		MedicalScrubsShirt_Green,*,		20,		5
		ChernarusSportShirt,	*,		25,		6
		TacticalShirt_Grey,		*,		36,		10
		TacticalShirt_Tan,		*,		37,		10
		TacticalShirt_Black,	*,		38,		10
		TacticalShirt_Olive,	*,		40,		12	

	<Category> Hoodies & Sweater
		Sweater_Red,			*,		20,		5
		Sweater_Blue,			*,		20,		5
		Sweater_Gray,			*,		20,		5
		Sweater_Green,			*,		25,		6
		//Hoodie_DrJ0nes,		*,		30,		6
		//Hoodie_GraffitiTiles,	*,		30,		6
		Hoodie_Red,				*,		30,		6
		Hoodie_Blue,			*,		30,		6
		Hoodie_Grey,			*,		30,		6
		Hoodie_Brown,			*,		30,		6
		Hoodie_Black,			*,		30,		6
		Hoodie_Green,			*,		35,		7
				
	<Category> Vests
		ReflexVest,				*,		5,		1
		PoliceVest,				*,		35,		10
		HuntingVest,			*,		55,		18
		PressVest_LightBlue,	*,		85,		28
		PressVest_Blue,			*,		90,		30
		UKAssVest_Black,		*,		90,		30
		UKAssVest_Khaki,		*,		90,		30
		UKAssVest_Olive,		*,		90,		30
		UKAssVest_Camo,			*,		100,	35
		SmershVest,				*,		150,	50
		HighCapacityVest_Black,	*,		200,	60
		HighCapacityVest_Olive,	*,		230,	75
		PlateCarrierVest,				*,		2000,	1000
		MassPlateCarrier_PartizanM,		*,		2000,	1000	
		MassPlateCarrier_Black,			*,		2000,	1000	
		//MassPlateCarrier_Winter,		*,		2000,	1000	
		MassPlateCarrier_ODG,			*,		2000,	1000	
		MassSmershvestWW2complete,		*,		1000,	300	
		MassSmershvestblackcomplete,	*,		1000,	300

	<Category> Mass Heavy Vests
		MassHeavyPlateVest_ODG,			*,		5000,	2000	
		//MassHeavyPlateVest_Winter,		*,		5000,	2000	
		MassHeavyPlateVest_Black,		*,		5000,	2000	
		MassHeavyPlateVest_PartizanM,	*,		5000,	2000	
		MassHeavyPlateVest_Beige,		*,		5000,	2000

	<Category> Mass's ManyItemOverhaul  
		Mass_PressVestBlack,			*,		1000,	5	
		Masswoodlandcamovest,			*,		1000,	5	
		MassSmershvestcomplete,			*,		1000,	5	
		//MassSmershvestWintercomplete,	*,		1000,	5	
		//MassUKAssVestWinter,			*,		1000,	5	
		Masswoodlandcamosweater,		*,		1000,	5	
		MassCamoHoodie,					*,		1000,	5	
		MassCUUquiltedJacket,			*,		1000,	5	
		Massurbancamom65,				*,		1000,	5	
		MassSM90Top,					*,		1000,	5	
		MassSM90WTop,					*,		1000,	5	
		MassBlackGorkatop,				*,		1000,	5	
		//MassGorkaInvertWinterTop,		*,		1000,	5	
		MassGorkaInvertWoodlandTop,		*,		1000,	5	
		MassGorkaInvertFlecktarnTop,	*,		1000,	5	
		MassUSww2top,					*,		1000,	5	
		MassGokuShirt,					*,		1000,	5	
		MassTropicamTop,				*,		1000,	5	
		MassMandraketop,				*,		1000,	5	
		//MassWinterHunterTop,			*,		1000,	5	
		//MassWinterCUUJacket,			*,		1000,	5	
		//MassWinterBDUJacket,			*,		1000,	5	
		MassTUhikingjacket,				*,		1000,	5	
		MassOrelTopgreen,				*,		1000,	5	
		MassNBCJacketYellow,			*,		1000,	5	
		MassBlackJacket,				*,		1000,	5	
		MassBeigeJacket,				*,		1000,	5	
		MassNBCpantsYellow,				*,		1000,	5	
		MassBlackGorkabottom,			*,		1000,	5	
		//MassGorkaInvertWinterPants,		*,		1000,	5	
		MassGorkaInvertWoodlandPants,	*,		1000,	5	
		MassGorkaInvertFlecktarnPants,	*,		1000,	5	
		MassTropicamPants,				*,		1000,	5	
		Masswoodlandcargopants,			*,		1000,	5	
		Massurbancamocargopants,		*,		1000,	5	
		Massjeanshorts,					*,		1000,	5	
		MassMandrakebottom,				*,		1000,	5	
		//MassWinterCUUPants,				*,		1000,	5	
		//MassWinterBDUPants,				*,		1000,	5	
		//MassWinterHunterPants,			*,		1000,	5	
		Massorelpantsgreen,				*,		1000,	5	
		MassSM90Pants,					*,		1000,	5	
		MassSM90WPants,					*,		1000,	5	
		MassNBCbootsYellow,				*,		1000,	5	
		MassNBCglovesBlue,				*,		1000,	5	
		MassBlackYellowMB,				*,		1000,	5	
		Massczech,						*,		1000,	5	
		//MassczechWinter,				*,		1000,	5	
		//MassWinterTortilla,				*,		1000,	5	
		MasscamoTaloon,					*,		1000,	5	
		MasscamoTaloon1,				*,		1000,	5	
		Massbrownhuntingbp,				*,		1000,	5	
		Massblackhuntingbp,				*,		1000,	5	
		//MassWinterHuntingbp,			*,		1000,	5	
		MassSmersh,						*,		1000,	5	
		//MassSmershwinter,				*,		1000,	5	
		Massurbancamohat,				*,		1000,	5	
		MasscamoBooniehat,				*,		1000,	5	
		MassBeigeUshanka,				*,		1000,	5	
		MassCoyoteBPUrban,				*,		1000,	5	
		MassCanvasBag,					*,		1000,	5	
		Massblackgp5,					*,		1000,	5	
		Massmichblack,					*,		1000,	5	
		MassHuntingCowboyhat,			*,		1000,	5	
		//MassWinterHuntingHood,			*,		1000,	5	
		MassNBChoodYellow,				*,		1000,	5	
		MassToolbelt,					*,		1000,	5	
		MassArmband_TU,					*,		1000,	5	
		MassArmband_NCR,				*,		1000,	5	
		MassArmband_snowBDU,			*,		1000,	5	
		MassArmband_PartizanM,			*,		1000,	5	
		MassArmband_Mandrake,			*,		1000,	5	
		MassArmband_Woodland,			*,		1000,	5	
		MassArmband_Urban,				*,		1000,	5	
		MassArmband_Orel,				*,		1000,	5	
		MassArmband_BWS,				*,		1000,	5	
		MassArmband_BT,					*,		1000,	5	
		MassMolleBagBlack,				*,		1000,	5	
		MassMolleBagDesert,				*,		1000,	5	
		MassMolleBagGorka,				*,		1000,	5	
		Massbag,						*,		1000,	5	
		Massbag2,						*,		1000,	5	
		Massbag3,						*,		1000,	5	
		Massbag4,						*,		1000,	5	
		Massmedbag,						*,		1000,	5	
		Massmedbag_blue,				*,		1000,	5	
		Massmedbag_green,				*,		1000,	5	
		MassSmershblack,				*,		1000,	5	
		MassImprovisedBag_Black,		*,		1000,	5	
		MassImprovisedBag_Blue,			*,		1000,	5	
		MassImprovisedBag_Green,		*,		1000,	5	
		MassImprovisedBag_Orange,		*,		1000,	5	
		MassImprovisedBag_Pink,			*,		1000,	5	
		MassImprovisedBag_Red,			*,		1000,	5	
		MassImprovisedBag_Yellow,		*,		1000,	5	
		MassImprovisedBag_Woodland,		*,		1000,	5	
		MassImprovisedBag_Partizan,		*,		1000,	5	
		MassImprovisedBag_Urban,		*,		1000,	5	
		MassRainCoatcourier_Black,		*,		1000,	5	
		MassRainCoatcourier_Blue,		*,		1000,	5	
		MassRainCoatcourier_Green,		*,		1000,	5	
		MassRainCoatcourier_Orange,		*,		1000,	5	
		MassRainCoatcourier_Pink,		*,		1000,	5	
		MassRainCoatcourier_Red,		*,		1000,	5	
		MassRainCoatcourier_Yellow,		*,		1000,	5	
		MassRainCoatcourier_Woodland,	*,		1000,	5	
		MassRainCoatcourier_Partizan,	*,		1000,	5	
		MassRainCoatcourier_Urban,		*,		1000,	5	
		MassMedical_Bag,				*,		1000,	5	
		MassMedical_Bag_Blue,			*,		1000,	5	
		MassMedical_Bag_Green,			*,		1000,	5	
		Massproxychar,					*,		1000,	5	
		MassNBC_Bag,					*,		1000,	5	
		MassRuckBagDesert,				*,		1000,	5
		MassRuckBagBlack,				*,		1000,	5
		MassRuckBagGorka,				*,		1000,	5
		MassRuckBagGreen,				*,		1000,	5	
		MassTacticalBag,				*,		100,	50
		MassTacticalBagBlack,			*,		100,	50	
		MassTacticalBagWD,				*,		100,	50
		MassMolleBelt,					*,		100,	50
		MassMolleBeltBlack,				*,		100,	50
		MassMolleBeltODG,				*,		100,	50
		MassMolleBeltWD,				*,		100,	50
		//MassMolleBeltSnow,			*,		100,	50

	<Category> Modular Vest System
        MVS_Combat_Vest_OD,                                                                             *,      100,    50
        MVS_Combat_Vest_Tan,                                                                            *,      100,    50
        MVS_Combat_Vest_Black,                                                                          *,      100,    50
		//MVS_Combat_Vest_Snow,                                                                           *,      100,    50	
		MVS_Combat_Vest_ERDL,                                                                           *,      100,    50
        MVS_Combat_Vest_Multicam,                                                                       *,      100,    50
        MVS_Combat_Vest_Multicam_Tropic,                                                                *,      100,    50
        MVS_Combat_Vest_Multicam_Black,                                                                 *,      100,    50

        MVS_ChestRig_OD,                                                                               	*,      100,    50   
        MVS_ChestRig_Tan,                                                                           	*,      100,    50	
        MVS_ChestRig_Black,                                                                       		*,      100,    50
        //MVS_ChestRig_Snow,                                                                           	*,      100,    50
 		MVS_ChestRig_ERDL,                                                                         		*,      100,    50
 		MVS_ChestRig_Multicam,                                                                          *,      100,    50
 		MVS_ChestRig_Multicam_Tropic,                                                                   *,      100,    50	
 		MVS_ChestRig_Multicam_Black,                                                                    *,      100,    50
	
        MVS_Combat_Vest_Heavy_OD,                                                                       *,      5000,    2500
        MVS_Combat_Vest_Heavy_Tan,                                                                      *,      5000,    2500
        MVS_Combat_Vest_Heavy_Black,                                                                    *,      5000,    2500
        //MVS_Combat_Vest_Heavy_Snow,                                                                     *,      5000,    2500
        MVS_Combat_Vest_Heavy_ERDL,                                                                     *,      5000,    2500
        MVS_Combat_Vest_Heavy_Multicam,                                                                 *,      5000,    2500
        MVS_Combat_Vest_Heavy_Multicam_Tropic,                                                          *,      5000,    2500
        MVS_Combat_Vest_Heavy_Multicam_Black,                                                           *,      5000,    2500
		
        MVS_Heavy_Pouch_OD,                                                                          	*,      200,    100
        MVS_Heavy_Pouch_Tan,                                                                        	*,      200,    100
        MVS_Heavy_Pouch_Black,                                                                      	*,      200,    100
        //MVS_Heavy_Pouch_Snow,                                                                       	*,      200,    100	
        MVS_Heavy_Pouch_ERDL,                                                                       	*,      200,    100			
        MVS_Heavy_Pouch_Multicam,                                                                       *,      200,    100			
        MVS_Heavy_Pouch_Multicam_Tropic,                                                                *,      200,    100		
        MVS_Heavy_Pouch_Multicam_Black,                                                                 *,      200,    100	

		MVS_Canteen_OD,                                                                            		*,      100,    50				
		MVS_Canteen_Tan,                                                                            	*,      100,    50				
		MVS_Canteen_Black,                                                                            	*,      100,    50				
		//MVS_Canteen_Snow,                                                                            	*,      100,    50	
		MVS_Canteen_ERDL,                                                                            	*,      100,    50
		MVS_Canteen_Multicam,                                                                           *,      100,    50
		MVS_Canteen_Multicam_Tropic,                                                                    *,      100,    50
		MVS_Canteen_Multicam_Black,                                                                     *,      100,    50		
		
        MVS_Magazine_Pouch_OD,                                                                          *,      100,    50
        MVS_Magazine_Pouch_Tan,                                                                         *,      100,    50
        MVS_Magazine_Pouch_Black,                                                                       *,      100,    50
        //MVS_Magazine_Pouch_Snow,                                                                        *,      100,    50
        MVS_Magazine_Pouch_ERDL,                                                                        *,      100,    50
        MVS_Magazine_Pouch_Multicam,                                                                    *,      100,    50
        MVS_Magazine_Pouch_Multicam_Tropic,                                                             *,      100,    50
        MVS_Magazine_Pouch_Multicam_Black,                                                              *,      100,    50
		
		MVS_Taco_Pouch_OD,                                                                          	*,      100,    50
        MVS_Taco_Pouch_Tan,                                                                        	 	*,      100,    50
        MVS_Taco_Pouch_Black,                                                                       	*,      100,    50
        //MVS_Taco_Pouch_Snow,                                                                        	*,      100,    50
        MVS_Taco_Pouch_ERDL,                                                                        	*,      100,    50		
        MVS_Taco_Pouch_Multicam,                                                                        *,      100,    50		
        MVS_Taco_Pouch_Multicam_Tropic,                                                                 *,      100,    50		
        MVS_Taco_Pouch_Multicam_Black,                                                                  *,      100,    50		
		
        MVS_Admin_Pouch_OD,                                                                             *,      100,    50
        MVS_Admin_Pouch_Tan,                                                                            *,      100,    50
        MVS_Admin_Pouch_Black,                                                                          *,      100,    50
        //MVS_Admin_Pouch_Snow,                                                                           *,      100,    50
		MVS_Admin_Pouch_ERDL,                                                                           *,      100,    50
		MVS_Admin_Pouch_Multicam,                                                                       *,      100,    50
		MVS_Admin_Pouch_Multicam_Tropic,                                                                *,      100,    50
		MVS_Admin_Pouch_Multicam_Black,                                                                 *,      100,    50
		
        MVS_Utility_Pouch_OD,                                                                           *,      100,    50
        MVS_Utility_Pouch_Tan,                                                                          *,      100,    50
        MVS_Utility_Pouch_Black,                                                                        *,      100,    50
        //MVS_Utility_Pouch_Snow,                                                                         *,      100,    50
        MVS_Utility_Pouch_ERDL,                                                                         *,      100,    50
        MVS_Utility_Pouch_Multicam,                                                                     *,      100,    50
        MVS_Utility_Pouch_Multicam_Tropic,                                                              *,      100,    50
        MVS_Utility_Pouch_Multicam_Black,                                                               *,      100,    50
		
        MVS_Medical_Pouch_OD,                                                                           *,      100,    50
        MVS_Medical_Pouch_Tan,                                                                          *,      100,    50
        MVS_Medical_Pouch_Black,                                                                        *,      100,    50
        //MVS_Medical_Pouch_Snow,                                                                         *,      100,    50
        MVS_Medical_Pouch_ERDL,                                                                         *,      100,    50
        MVS_Medical_Pouch_Multicam,                                                                     *,      100,    50
        MVS_Medical_Pouch_Multicam_Tropic,                                                              *,      100,    50
        MVS_Medical_Pouch_Multicam_Black,                                                               *,      100,    50
		
        MVS_Belt_OD,                                                                                 	*,      100,    50
        MVS_Belt_Tan,                                                                                 	*,      100,    50
        MVS_Belt_Black,                                                                                 *,      100,    50
        //MVS_Belt_Snow,                                                                                 	*,      100,    50	
        MVS_Belt_ERDL,                                                                                 	*,      100,    50	
        MVS_Belt_Multicam,                                                                              *,      100,    50	
        MVS_Belt_Multicam_Tropic,                                                                       *,      100,    50
        MVS_Belt_Multicam_Black,                                                                        *,      100,    50
		
        MVS_Holster_OD,                                                                                 *,      100,    50
        MVS_Holster_Tan,                                                                                *,      100,    50
        MVS_Holster_Black,                                                                              *,      100,    50
        //MVS_Holster_Snow,                                                                               *,      100,    50		
        MVS_Holster_ERDL,                                                                               *,      100,    50		
        MVS_Holster_Multicam,                                                                           *,      100,    50
        MVS_Holster_Multicam_Tropic,                                                                    *,      100,    50		
        MVS_Holster_Multicam_Black,                                                                     *,      100,    50		

        MVS_Sheath_OD,                                                                                  *,      100,    50
        MVS_Sheath_Tan,                                                                                 *,      100,    50
        MVS_Sheath_Black,                                                                               *,      100,    50
        //MVS_Sheath_Snow,                                                                                *,      100,    50		
        MVS_Sheath_ERDL,                                                                                *,      100,    50
        MVS_Sheath_Multicam,                                                                            *,      100,    50
        MVS_Sheath_Multicam_Tropic,                                                                     *,      100,    50
        MVS_Sheath_Multicam_Black,                                                                      *,      100,    50
		
		//new 6.17.2020
        MVS_Molle_Panel_OD,                                                                                  *,      100,    50
        MVS_Molle_Panel_Black,                                                                                 *,      100,    50
        MVS_Molle_Panel_Tan,                                                                               *,      100,    50
        MVS_Molle_Panel_ERDL,                                                                                *,      100,    50		
        //MVS_Molle_Panel_Snow,                                                                                *,      100,    50
        MVS_Molle_Panel_Multicam,                                                                            *,      100,    50
        MVS_Molle_Panel_Multicam_Tropic,                                                                     *,      100,    50
        MVS_Molle_Panel_Multicam_Black,                                                                      *,      100,    50		
		
        MVS_Pack_OD,                                                                                    *,      100,    50
        MVS_Pack_Tan,                                                                                   *,      100,    50
        MVS_Pack_Black,                                                                                 *,      100,    50
        //MVS_Pack_Snow,                                                                                  *,      100,    50		
        MVS_Pack_ERDL,                                                                                  *,      100,    50		
        MVS_Pack_Multicam,                                                                              *,      100,    50		
        MVS_Pack_Multicam_Tropic,                                                                       *,      100,    50			
        MVS_Pack_Multicam_Black,                                                                        *,      100,    50
		
        MVS_Assault_Pack_OD,                                                                            *,      100,    50
        MVS_Assault_Pack_Tan,                                                                           *,      100,    50
        MVS_Assault_Pack_Black,                                                                         *,      100,    50
        //MVS_Assault_Pack_Snow,                                                                          *,      100,    50
        MVS_Assault_Pack_ERDL,                                                                          *,      100,    50		
        MVS_Assault_Pack_Multicam,                                                                      *,      100,    50		
        MVS_Assault_Pack_Multicam_Tropic,                                                               *,      100,    50		
        MVS_Assault_Pack_Multicam_Black,                                                                *,      100,    50	

		MVS_Radio,                                                                                  	*,      100,    50        
		MVS_Radio_Pack_OD,                                                                              *,      100,    50
        MVS_Radio_Pack_Tan,                                                                             *,      100,    50
        MVS_Radio_Pack_Black,                                                                           *,      100,    50
        //MVS_Radio_Pack_Snow,                                                                            *,      100,    50
        MVS_Radio_Pack_ERDL,                                                                            *,      100,    50		
        MVS_Radio_Pack_Multicam,                                                                        *,      100,    50		
        MVS_Radio_Pack_Multicam_Tropic,                                                                 *,      100,    50		
        MVS_Radio_Pack_Multicam_Black,                                                                  *,      100,    50

		MVS_Rucksack_OD,                                                                          		*,      100,    50
        MVS_Rucksack_Tan,                                                                            	*,      100,    50		
		MVS_Rucksack_Black,                                                                            	*,      100,    50
		//MVS_Rucksack_Snow,                                                                     			*,      100,    50
        MVS_Rucksack_ERDL,                                                                         		*,      100,    50
        MVS_Rucksack_Multicam,                                                                          *,      100,    50
        MVS_Rucksack_Multicam_Tropic,                                                                   *,      100,    50
        MVS_Rucksack_Multicam_Black,                                                                    *,      100,    50

        MVS_Compact_1_OD,                                                                          		*,      100,    50
        MVS_Compact_1_Tan,                                                                          	*,      100,    50	
        MVS_Compact_1_Black,                                                                       		*,      100,    50
        //MVS_Compact_1_Snow,                                                                         	*,      100,    50		
        MVS_Compact_1_ERDL,                                                                         	*,      100,    50		
